text,ASSORTMENT,PROMOTIONS,DELIVERY,PRICE,PRODUCTS_QUALITY,SUPPORT,CATALOG_NAVIGATION,PAYMENT
Программу надо улучшить,0,0,0,0,0,0,0,1
"Заказ на сумму от [NUM]? это дорого, было бы лучше как было раньше [NUM]?",0,0,0,1,0,0,0,1
Часто стали приезжать просроченные и некачественные продукты,0,0,0,0,1,0,0,0
Раньше доставка была в течение [NUM] мин сейчас стала больше и все время меняется время ожидания .,0,0,1,0,0,0,0,0
Не следите за качеством продуктов,0,0,0,0,1,0,0,0
"Если по скидкам и акциям продукты ещё и выходят в нормальной цене, то без них иногда стоят космически. Но самое большое расстройство - это доставка. Проще назвать, сколько раз за год мне доставили в срок [NUM] минут, чем посчитать, сколько раз опаздывали.",0,1,1,1,0,0,0,0
Быстро,0,0,1,0,0,0,0,0
"Поддержка по телефону перестала вообще что-либо решать - по всем вопросам посылают в телеграмм. В телеграмме не отвечают уже третий день - сначала пишут что надо [NUM]-[NUM] минут, но никто и за час не подходит - потом это откладывают, потом опять бот и так до б",0,0,0,0,0,1,0,0
"Доставка стала дольше, это огорчает(",0,0,1,0,0,0,0,0
Привезли размороженную пюреобразную ягоду,0,0,0,0,1,0,0,0
Слишком долгая доставка,0,0,1,0,0,0,0,0
Спасибо!,0,0,0,0,0,0,0,0
Хотелось бы что бы все напитки были охлажденными. А вы привозите теплыми,0,0,0,0,1,0,0,0
"Почти всегда заказы опаздывают. Когда звонишь операторам и спрашиваешь почему указано [NUM] минут, а по факту может курьер задержаться на полтора часа, специалисты тыкают в какой-то договор где что-то там прописано написано. Ставьте реальное время доставки",0,0,1,0,0,1,0,0
"Курьеры как рабы работают у вас , почему их так мало .Ждёшь заказ по часу . Почему их так мало на смене!!!!!!!!!",0,0,1,0,0,0,0,0
"Очень быстрая доставка. Маленький выбор, достаточно высокие цены",1,0,1,1,0,0,0,0
"Нет никакой системы лояльности к постоянным клиентам. Ответы в чате - шаблонами. Привозят испорченные продукты и просто возвращают деньги после жалобы, даже никакого промокода в качестве извинений.",0,1,0,0,1,1,0,0
"Доставка очень длительная, пришлось долго ждать",0,0,1,0,0,0,0,0
"Я думаю о вас хорошо, раньше было лучше. Есть ощущение то что стало дороже, а качество хуже - это касается зелени.",0,0,0,1,1,0,0,0
Хороший сервис,0,0,0,0,0,0,0,0
Оочень долгая доставка! Жду уже более [NUM] минут,0,0,1,0,0,0,0,0
"Доставка стала очень долгой - бывает и по полчаса везут. Поднятие цен на доставку тоже не радует. [NUM]-[NUM] ещё нормально, но бывает и [NUM]!!!",0,0,1,1,0,0,0,0
"Стоимость сильно выше, картинки не соответствую ассортименту.",0,0,0,1,0,0,1,0
"Очень долгая доставка, написано до [NUM] минут, или что курьер будет вот вот у вас, а по итогу доставка в среднем [NUM]-[NUM] минут",0,0,1,0,0,0,0,0
"очень долгая доставка. не смотря на то, что мы находимся возле склада самоката",0,0,1,0,0,0,0,0
"Очень часто виснет приложение , задерживаются доставки , высокие цены на определенные продукты",0,0,1,1,0,0,1,0
Молодцы,0,0,0,0,0,0,0,0
"Присылаете молочные изделия за день до истечения срока годности, доставка стала нереально долгой, да при этом еще и постоянно огромный спрос",0,0,1,0,1,0,0,0
"Продукты практически всегда с почти истёкшим сроком годности . И тут как повезёт , иногда продукт ещё можно употреблять а иногда просто в мусорки испорченные продукты . Пока не откроешь пачку , заметить запах продукта по внешнему виду невозможно",0,0,0,0,1,0,0,0
"Долгая доставка, часты задержки по времени, в сравнении с пятёрочкой и магнитом цены на [NUM]-[NUM]% выше , хоть раньше разница не была такой существенной",0,0,1,1,0,0,0,0
"Не всегда есть возможность выйти в магазин. Приходится пользоваться доставкой, неудобно постоянно условно из-за банки газировки набирать товаров еще на [NUM]р",0,0,1,0,0,0,0,1
Очень мало промокодов или редко предлагаете товар за [NUM] руб,0,1,0,0,0,0,0,0
"Все бы хорошо, если бы не ваше приложение. Сначала я думал что это мой хуавей уже старый, не вытягивает. Но когда я ловил фризы и глюки с непрогоузом картинок на самсунг s[NUM]...... Это печаль",0,0,0,0,0,0,1,0
Долгая доставка,0,0,1,0,0,0,0,0
"Все круто,но вот доставка стала постоянно опаздывать",0,0,1,0,0,0,0,0
"Доставка быстрая,но цена на вкусняшки огорчает",0,0,1,1,0,0,0,0
"Пишите что доставка [NUM] минут,на самом деле все [NUM],и пишется что курьер будет через минуту ждешь [NUM]",0,0,1,0,0,0,0,0
Доставка часто задерживается,0,0,1,0,0,0,0,0
Часто привозят испорченные продукты,0,0,0,0,1,0,0,0
"вы классные! жаль только, что еда долго едет",0,0,1,0,0,0,0,0
"Не очень нравится часть доставки, курьеры часто задерживаются и в Яндекс лавке курьеры приветливее",0,0,1,0,0,0,0,0
"Хотелось бы, чтобы у нас также появилась доставка не только за [NUM] минут, но и из больших магазинов - был бы больше выбор",1,0,1,0,0,0,0,0
"слишком долгая доставка, бывает, что час доставляют",0,0,1,0,0,0,0,0
Всё отлично,0,0,0,0,0,0,0,0
"Все очень нравится, но жаль, что частенько заканчивается ассортимент любимых продуктов, например, сырки в бельгийском шоколаде. Фрукты часто либо еще не дозрели, либо с дефектами в виде вмятин, пятен итд. А идея с рецептами в приложении это просто супер!",1,0,0,0,1,0,1,0
"Завышена цена, медленные курьеры. Техническая поддержка не всегда отвечает",0,0,1,1,0,1,0,0
Плохая клиентоориентированность при проблемах и долгих доставках нет никаких промокодов,0,1,1,0,0,1,0,0
Большой порог минимального заказа,0,0,0,0,0,0,0,1
мяу.,0,0,0,0,0,0,0,0
"Цены на отдельные позиции заметно выросли, ассортимент товаров не поспевает за конкурентами.",1,0,0,1,0,0,0,0
"Самокат- это классно, но продуктики иногда не вкусненькие",0,0,0,0,1,0,0,0
"Я думаю, что продавать тухляк и некондицию, как вы это обычно делаете-тупиковый путь, потому что есть Лавка и Озон фреш как минимум. Свое конкурентное преимущество-скорость- вы тоже про****ли. Цены у вас космос, кофе Лебо [NUM] гр [NUM]?. Лавка форева.",0,0,1,1,1,0,0,0
"Раньше было все очень здорово , но маленький ассортимент , сейчас выбора в разы больше , но очень огромные цены",1,0,0,1,0,0,0,0
"Продукция самокат вся невкусная, но ее будто больше всего. Хотелось бы больше товаров нормальных фирм. Качество продуктов фирмы самокат низкое, цена высокая. Беру иногда от безвыходности. Когда лень идти в магазин. Или долго ждать. Привозят быстро.",1,0,1,1,1,0,0,0
"Ужасно раздражает когда минимальная стоимость заказа возрастает до небес! Однажды заказ задержали больше чем на час, при том что у меня не отдаленный район. Так никто за это даже не извинился! Я думала что хотя бы какой-то промокод рублей на [NUM]-[NUM] дадут.",0,1,1,1,0,1,0,0
Очень часто стали задерживать доставку!!! И никаких потом извинений и скидок нет,0,1,1,0,0,1,0,0
"Очень быстро, много ассортимента и удобно в заказе",1,0,1,0,0,0,0,0
"Цены выше ,чем в Яндекс маркете ,но можно оплачивать балами спасибо от сбер ,поэтому выгодно пользоваться только если есть балы",0,0,0,1,0,0,0,1
Долго идет курьер.,0,0,1,0,0,0,0,0
"Время часто стало не совпадать с фактическим по доставке, а так меня все устраивает, хотелось бы увеличение кол во дару сторов",0,0,1,0,0,0,0,0
Самокат расположен в моем доме. В последнее время стали доставлять заметно дольше.,0,0,1,0,0,0,0,0
"Курьеры часто приходят не на тот адрес, приходится созваниваться и на пальцах объяснять куда идти, либо вообще выходить встречать. Люди несерьезно относятся к работе в этом моменте",0,0,1,0,0,0,0,0
"Пишите ""доставка [NUM] минут"", а по факту всегда дольше",0,0,1,0,0,0,0,0
"Хорошо, но дороговато. Маленький выбор мороженого",1,0,0,1,0,0,0,0
"Иногда курьер идёт очень долго, но в следующий раз курьер приходит очень быстро, и не успеваешь планировать время, а время это самый ценный ресурс в нашей жизни, что я хочу этим сказать? Так вот, если вы рекламируете доставку за от [NUM] минут, прошу достави",0,0,1,0,0,0,0,0
Самокат не положит для доставки свежих овощей/фруктов. Срок годности продуктов иногда заканчивается через пару суток,0,0,0,0,1,0,0,0
"Очень долгая доставка.Пишите [NUM] минут, а по факту все [NUM]",0,0,1,0,0,0,0,0
Постоянные ограничения при минимальном заказе отбивают желание заказывать что-либо. Еще нехватка ассортимента расстраивает,1,0,0,0,0,0,0,1
"Долгие доставки, высокие цены.",0,0,1,1,0,0,0,0
"Удивительно быстро, вы супер",0,0,1,0,0,0,0,0
Все долго,0,0,1,0,0,0,0,0
Не списываются бонусы спасибо. Минимальная сумма заказа часто высокая,0,0,0,0,0,0,0,1
"Было бы круто, если бы вы сотрудничали с пекарнями, они на каждом шагу у нас в городе, а с работы не всегда можно сбежать в магазин, пирожки в самокате конечно прикольные, но всё готовое, что долго хранится, не очень на вкус,",1,0,0,0,1,0,0,0
"Товар не доставляется за [NUM] минут, сумма заказа постоянно прыгает",0,0,1,0,0,0,0,1
"Минимальная сумма заказа постоянно растет, поэтому создается плохое впечатление ??",0,0,0,0,0,0,0,1
Мне нравится,0,0,0,0,0,0,0,0
?,0,0,0,0,0,0,0,0
Ассортимент скромный но в целом молодцы),1,0,0,0,0,0,0,0
"Я помню тот первый заказ в [NUM] году который открыл мне невероятный мир быстрых заказов продуктов, до [NUM] года я была увела что ни за что не уйду к конкурентам, сейчас же я делаю не больше одного заказа, [NUM] мин объективно не выдерживает доставка а СТМ????",0,0,1,0,1,0,0,0
Стало очень дорого. Легче самому до магазина дойти,0,0,0,1,0,0,0,0
"Хорошо, но дорого",0,0,0,1,0,0,0,0
"Постоянный обман с доставкой, вы не имеете право писать доставка за [NUM] мин, и никаких встречных решений ни одного вопроса",0,0,1,0,0,1,0,0
Самокат не так уж плох но именно это цефезе допускают частые опоздания задержку товаров превышают цены для заказа лимита я очень этим дедавольна я думаю так думают многие клиенты,0,0,1,1,0,0,0,1
Ок,0,0,0,0,0,0,0,0
"Думаю что вы не достаточно нацелены на клиентов , и в поддержи используете слишком часто отговорки на системы автоматизации, будто она управляет вашим персоналом, лишили  меня ужина из-за того что кто то на долю секунды раньше ДОБАВЬТЕ ОПЛАТУ ПРИ ПОЛУЧЕНИ",0,0,0,0,0,1,0,1
Я написала ???????,0,0,0,0,0,0,0,0
"Доставка не вовремя. Время одно , по факту другое",0,0,1,0,0,0,0,0
Плохое и некачественное соблюдение норм хранения продуктов - в частности молоко и сливки. Очень часто привозят молоко сроком подходящим к концу. Молоко оказывается кислым. Не раз жаловалась в службу поддержки. В итоге перестала заказывать.,0,0,0,0,1,1,0,0
"слишклм долгая доставка,дорого,нужно улучшить ассортимент",1,0,1,1,0,0,0,0
Очень медленная доставка. Последний год всегда доставка от [NUM] минут.,0,0,1,0,0,0,0,0
"Отвратительно работаете, из [NUM] заказов вовремя приедет максимум [NUM]",0,0,1,0,0,0,0,0
"Достаточно завышенные цены, но доставка на высоте.",0,0,1,1,0,0,0,0
Не хватает алкоголя и сигарет,1,0,0,0,0,0,0,0
"Быстро, удобно, доступно",0,0,1,0,0,0,0,0
Долго,0,0,1,0,0,0,0,0
"Всё хорошо, но с курьерами везет когда как",0,0,1,0,0,0,0,0
Продукты не всегда свежие. Курьер привозит заказ каждый раз по-разному. Цены очень сильно отличаются от тех что в магазинах. Товары не соответствуют фотографиям что приложены в приложении.,0,0,1,1,1,0,0,0
??,0,0,0,0,0,0,0,0
"Часто привозят продукты не свежие,часто такое что товар годен день-два(ответ поддержки один-что все хорошо, так и должно быть). Часто задерживаются курьеры",0,0,1,0,1,1,0,0
В целом неплохо,0,0,0,0,0,0,0,0
Залупа ебаная. Овнер самоката хуесос,0,0,0,0,0,0,0,0
дорого. хотелось бы круглосуточно,0,0,1,1,0,0,0,0
"Вечно товар приходит то мятый , то гнилой !",0,0,0,0,1,0,0,0
Очень долгая доставка,0,0,1,0,0,0,0,0
Очень долго,0,0,1,0,0,0,0,0
хочется по больше ассортимента,1,0,0,0,0,0,0,0
"дорого, ребята",0,0,0,1,0,0,0,0
"Все хорошо, в общем. Давно заказываю, почти каждый день. Но теперь каждый заказ задерживают. И это дико бесит. Если заявляете [NUM] мин, так и пусть привозят. Опоздали , компенсируйте. Вот-вот будет у вас - это иногда длится [NUM]-[NUM] мин ещё.",0,0,1,0,0,1,0,0
"Очень часто доставку задерживают, хотя пишут что курьер вот вот будет у меня. Жду часами!",0,0,1,0,0,0,0,0
Если пишите что доставка быстрая такая и должна быть . Мы заказываем в основном для работы и срочно а получается быстрее добежать до магазина и вернуться,0,0,1,0,0,0,0,0
Улучшить условия работы для курьеров и дела пойдут в гору.,0,0,1,0,0,0,0,0
курьеры всегда задерживаются по утрам,0,0,1,0,0,0,0,0
"Очень долгая доставка , последнее время ужасное качество продуктов",0,0,1,0,1,0,0,0
Говно,0,0,0,0,0,0,0,0
"У вас забастовки, а страдают от этого клиенты. Проконсультировать нормально так и не смогли, даже не смогли ответить доставят ли мне сегодня товар или нет. Вы худшие в плане тех поддержки",0,0,1,0,0,1,0,0
Доставка больше [NUM] минут,0,0,1,0,0,0,0,0
"К курьеру претензий нет,а к поиску курьера есть вопрос. Искали курьера [NUM]м, потом он ехал [NUM]м.Наймите больше сотрудников, если люди не идут к вам работать или уходят, прибавьте ЗП. Смысл обещаний в [NUM]м-[NUM]м доставим, пишите сразу от [NUM]ч и вопросов не будет!",0,0,1,0,0,0,0,0
"В последнее время   привозят то разлито,то не свежее очень,то разбито",0,0,1,0,1,0,0,0
Долгая и не качественная доставка.,0,0,1,0,1,0,0,0
Все хорошо !,0,0,0,0,0,0,0,0
"Фрукты не нравятся , совсем безвкусные , не спелые",0,0,0,0,1,0,0,0
Привет,0,0,0,0,0,0,0,0
Слишком долго собирают заказы и очень долго доставляют,0,0,1,0,0,0,0,0
"Все ок в целом,но иногда возникают не приятные ситуации",0,0,0,0,0,0,0,0
"Часто привозятся товары, почти с истекшим сроком годности-это главный минус",0,0,0,0,1,0,0,0
"Очень удобно для мамочек в декрете??Ребятишки молодцы, правда иногда забывают что то положить??",0,0,1,0,0,0,0,0
"Очень долго стали доставлять. [NUM] минут с учетом того, что до даркстора всего [NUM] минут ходьбы, в следующий раз проще будет самому до магазина дойти.",0,0,1,0,0,0,0,0
"Дорого, но удобно",0,0,1,0,0,0,0,0
"Не всегда есть выбор,часто нет товара,не всегда свежее",1,0,0,0,1,0,0,0
"Напишите, пожалуйста сразу, если курьер не успевает, в этом нет его вины, он то самую ужасную часть работы выполняет",0,0,1,0,0,0,0,0
К сожалению заказ очень долго висит что его скоро начнут собирать,0,0,1,0,0,0,0,0
"Слишком долго отвечает и решает проблемы поддержка, слишком долго везут заказ",0,0,1,0,0,1,0,0
"Доставляете правда за [NUM] минут! От заказа а приле до двери и все будет топчик! Стали часто опаздывать, в обычную нормальную погоду",0,0,1,0,0,0,0,0
"иногда слишком дорого, овощи резиновые;(",0,0,0,1,1,0,0,0
Последний курьер не совсем компетентный,0,0,1,0,0,0,0,0
Спасибо что вы есть:),0,0,0,0,0,0,0,0
Норм,0,0,0,0,0,0,0,0
"часто приходят не самые свежие продукты, а которым буквально осталось пару дней, это расстраивает… без предупреждения убираете позицию из заказа, а предупреждает уже курьер на месте, и зачем? ведь можно позвонить заранее и поменять на что-нибудь другое",0,0,1,0,1,1,0,0
Реальное время доставки (и о задержках) предупреждают только после оплаты,0,0,1,0,0,1,0,0
Очень плохие курьеры,0,0,1,0,0,0,0,0
"Пользуюсь часто вашим сервисом, но! Постоянно задержки, заказ везут от [NUM] мин до [NUM].[NUM]!!!! Постоянно привозят просрочку!",0,0,1,0,1,0,0,0
В последнее время стала медленнее доставка,0,0,1,0,0,0,0,0
Красота,0,0,0,0,0,0,0,0
Я рот ебал у в,0,0,0,0,0,0,0,0
"чаще товар доставляется «не первой свежести», доставка на уровне ниже среднего, поддержка тоже самое",0,0,1,0,1,1,0,0
"не указывайте, что курьер будет через [NUM]-[NUM] минут, когда по факту он только через [NUM] минут приходит",0,0,1,0,0,0,0,0
Привезли не тот заказ,0,0,1,0,0,0,0,0
Цены очень кусаются,0,0,0,1,0,0,0,0
"Удобный сервис, хорошо бы увеличить ассортимент и улучшить качество предлагаемых продуктов, что цена и качество продуктов больше соотносились друг с другом.",1,0,0,1,1,0,0,0
Доставка долгая стала,0,0,1,0,0,0,0,0
"За обещанные [NUM], и даже [NUM] минут заказ не довозится. Часто, продукты с заканчивающимся сроком годности.",0,0,1,0,1,0,0,0
Долгое ожидание по вечерам,0,0,1,0,0,0,0,0
"Сервис отличный и идея такой быстрой доставки просто огонь. Но! У дарксторов огромные проблемы с овощами, иногда и с фруктами. Я уже не рискую их заказывать, каждый раз приезжает какая-то часть или всё (из овощей и фруктов) с гнилью, плесенью или иными ве",0,0,0,0,1,0,0,0
Хуево думаю,0,0,0,0,0,0,0,0
Плохое приложение очень сильно тупит телефон мощный ассортимент маленький качество продуктов не очень хорошее,1,0,0,0,1,0,1,0
Говно,0,0,0,0,0,0,0,0
Не об этом думать надо в такое время,0,0,0,0,0,0,0,0
Долго доставляют,0,0,1,0,0,0,0,0
Дорого,0,0,0,1,0,0,0,0
"Цены значительно выше, чем в других магазинах",0,0,0,1,0,0,0,0
"Долго доставляют , никогда за [NUM] мин не привозили . Еда от Бренда самокат , полное говно . Сосиски за [NUM]? есть невозможно , вообще . Когда только открылись было отлично , сейчас же все печально . Продукты постоянно какие то странные . Честно мое мнение.",0,0,1,1,1,0,0,0
"Цены в [NUM] раз дороже чем в магазине, вечно опаздывают, слишком мало товаров.",1,0,1,1,1,1,0,0
"Мне не нравиться когда мне звонит курьер и его не понять, плохо знают язык даже на уровне работы, может стоит их обучать банальным фразам? Типо: Я приехал, спускайтесь!) Или ""я подъезжаю, спускайтесь!)"" Ну и тд.",0,0,1,0,0,0,0,0
Очень долгая доставка,0,0,1,0,0,0,0,0
"Оформление заказа от [NUM] руб, при том, что необходимо самое минимальное молоко, приходится набирать не нужное. Из [NUM] раз при возникшей необходимости оформила первый раз. Раньше шоколадку можно было купить. Плохо.",0,0,0,1,0,0,0,1
Не соответствует действительности,0,0,0,0,0,0,0,0
"Видимо везёт сильно мне) но курьеры все какие то странные, все написано в комментариях подробно, они все равно стоят и ждут, а потом ругаются что они долго ждут) научите читать курьеров комментарии",0,0,1,0,0,1,0,0
Не играйте в доту пацаны,0,0,0,0,0,0,0,0
"Хорошая компания, но хотелось бы иметь способ отказа от продукта при доставке, если качество плохое. То есть сразу вернуть товар и деньги за него.",0,0,1,0,1,0,0,1
Курьер привез пробитую бутылку воды.,0,0,1,0,1,0,0,0
Ранее заказ был от [NUM] сейчас от [NUM] не очень !,0,0,0,1,0,0,0,1
Отвратительная клиентоориентированность. Привозят сроки продуктов [NUM]-[NUM] дня. Могут забыть позиции,0,0,1,0,1,1,0,0
Обман со временем доставки,0,0,1,0,0,0,0,0
Долгая доставка,0,0,1,0,0,0,0,0
Курьеры стали очень долго доставлять заказ,0,0,1,0,0,0,0,0
Не везде доставляют,0,0,1,0,0,0,0,0
"Кол-во товара сильно зависит от района. Пожалуйста,увеличьте ассортимент",1,0,0,0,0,0,0,0
"Вы полное дермище, самый худший лоукостер в рф",0,0,0,0,0,0,0,0
В последнее время очень долго доставляют и долго собирают и обрабатывают заказ. Яндекс [NUM] в этом плане намного оперативнее,0,0,1,0,0,0,0,0
"Нравится Самокат в плане доставки, сервиса и некоторых интересных продуктов, но часто предпочитаю Яндекс.Лавку за счёт более крупного и разнообразного ассортимента и доступных цен",1,0,0,1,0,0,0,0
"Бывают задержки с доставкой, хотелось бы их избежать и нет промокодов",0,1,1,0,0,0,0,0
"Некоторые продукты неоправданно дорогие, доставка в последнее время стала лучше, приезжает не через пол года, а чуть раньше. Продукты первой необходимости есть и это хорошо, но ассортимента хотелось бы побольше, особенно фруктов и ягод",1,0,1,1,0,0,0,0
"Неаккуратная доставка - упаковки помятые, может открыться и пролиться. Упакованные продукты приезжают с плесенью. Овощи и фрукты иногда просто незрелые. Хорошо бы иметь возможность ставить оценку продуктам и видеть рейтинг",0,0,1,0,1,0,0,0
"С кайфом, но цены перегнуты",0,0,0,1,0,0,0,0
Ужасная доставка,0,0,1,0,0,0,0,0
Очень маленький ассортимент с высокими ценами. Не нравится что заказ нельзя оставить у двери,1,0,1,1,0,0,0,0
"Вместо [NUM]-[NUM] минут, стали доставлять от [NUM] минут, в течении долгого времени",0,0,1,0,0,0,0,0
Стали хуже,0,0,0,0,0,0,0,0
Часто проблема из-за долгой доставки,0,0,1,0,0,0,0,0
"Если заказываю овощи в сетке, все остальные продукты в земле. Поэтому перестала их заказывать.",0,0,1,0,1,0,0,0
"Иногда бывает долгое ожидание, мало продуктов без глютена без сахара и лактозы .",1,0,1,0,0,0,0,0
Мяу мяу мяу мяу мяу мяу,0,0,0,0,0,0,0,0
"Осадок после испорченной курицы, привезенной курьером, остался и заказывать подобного рода продукты теперь, через ваш сервис, небезопасно.",0,0,0,0,1,0,0,0
Совершенно не можете доставлять заказы,0,0,1,0,0,0,0,0
К сожалению стали часто привозить просроченную продукцию.,0,0,0,0,1,0,0,0
"Я обожаю самокат. Вчера я хотела заказать кофе в дрипах ассорти. И на него была скидка [NUM]%, нов не успела до [NUM]:[NUM] и на следующий день они уже были без скидки(",0,1,0,0,0,0,0,0
Ничего,0,0,0,0,0,0,0,0
"Мне нравится, я часто заказываю продукты у вас. Но достаточно часто они приезжают испорченные",0,0,0,0,1,0,0,0
"Очень нравится, на самом деле первый раз заказывал продукты именно в Самокате",0,0,0,0,0,0,0,0
"Вечером курьера иногда думаешь , что не дождешься , так долго ждать",0,0,1,0,0,0,0,0
"Абсолютно неадекватная скорость доставки заказов. Нет никаких [NUM] минут даже в разгруженные дни / часа. Нет возможности выйти на связь с курьером, чтоб он сообщение через сколько будет на месте (это часто очень нужно, ибо доставка необходима в краткий срок",0,0,1,0,0,1,0,0
Успехов в работе .,0,0,0,0,0,0,0,0
"Доставка (с момента списания) позиционируется за [NUM] минут. Фактически время ожидания в не часы пик достигает [NUM]-[NUM] минут.",0,0,1,0,0,0,0,0
"Удобное приложение, главное, что курьерам и фасовщиками работается комфортно. Единственный минус — не всегда свежая еда, иногда привозят просроченную!",0,0,0,0,1,0,0,0
"Никогда не знаешь, с задержкой привезут или нет, ходовых товаров мало и их раскупают",1,0,1,0,0,0,0,0
"Очень долгая доставка, вместо заявленных [NUM] минут доставку бывает по [NUM],[NUM] часа",0,0,1,0,0,0,0,0
"Доставка иногда бывает очень долгая. Товары привозят в отвратительном виде. Ассортимент не очень большой,бывает что нет самых ходовых продуктов..",1,0,1,0,1,0,0,0
"Очень удобный сервис, но хотелось бы, чтобы вы расширили ассортимент??",1,0,0,0,0,0,0,0
"В целом все нравилось, но несколько раз были проблемы с доставкой, задержки на большое время, и все это в районе академа. Поэтому общее впечатление испортилось. Но пользоваться продолжаю, нравится ассортимент товаров.",1,0,1,0,0,0,0,0
"Ни одна доставка не занимает [NUM] минут, всегда около [NUM]",0,0,1,0,0,0,0,0
Доглая доставка,0,0,1,0,0,0,0,0
Готовая еда отвратительного качества,0,0,0,0,1,0,0,0
качество продуктов иногда желает лучшего…..,0,0,0,0,1,0,0,0
"Время доставки вообще перестало соответствовать тому, что написано в приложении. Заказ жду час и больше. Цены на некоторые позиции слишком завышены. Приложение работает некорректно. Но самое печальное - это всё-таки время доставки.",0,0,1,1,0,0,1,0
"Кучка извращенцев, гореть вам в аду!",0,0,0,0,0,0,0,0
Поддержка не отвечает уже [NUM] неделю,0,0,0,0,0,1,0,0
"Для чего писать в приложении, что доставка [NUM] минут и везти заказ больше [NUM] минут? Что за неуважение к клиенту, за все это потерянное время, мы могли бы сами уже [NUM] раза сходить в магазин, а не ждать. Даже не пишут через сколько курьер будет, сиди и гадай",0,0,1,0,0,1,0,0
Раньше было лучше,0,0,0,0,0,0,0,0
Иногда долгое ожидание,0,0,1,0,0,0,0,0
"Заказываю через сбермаркет - там удобнее, но уже неделю выдаёт ошибку невозможно заказать самокат",0,0,0,0,0,0,1,1
Курьеры очень часто задерживают заказы на час когда спрос маленький,0,0,1,0,0,0,0,0
"Цены выше, чем в аналогичных маркетах - это плохо",0,0,0,1,0,0,0,0
Очень долго везут заказ!!!,0,0,1,0,0,0,0,0
"Когда лень идти за черешней - есть самокат. То есть первое, что придет в голову - ваша доставка. не Яндекс Маркет, а вы ????",0,0,1,0,0,0,0,0
Не хватает отзывов о продуктах .,0,0,0,0,0,0,1,0
Захожу в самокат только из за доставки в течение [NUM]мин. Когда она дольше - приложение фактически теряет свою ценность,0,0,1,0,0,0,0,0
Бывает просрочка или кислая молочка. Долгая доставка,0,0,1,0,1,0,0,0
"Следите за качеством товара! Привезти пакет продуктов где ГНИЛЫЕ яблоки растеклись на весь пакет! Это наглость! И поддержка может вернуть только стоимость этих яблок, а остальное все, пропахшее гнилью и все в слизи как есть предлагаете?я посмотрю на вас!",0,0,0,0,1,1,0,0
Больно дорого,0,0,0,1,0,0,0,0
Очень часто проблемы с задержкой.... [NUM]% случаев опоздание и задержка ....,0,0,1,0,0,0,0,0
"Очень долго доставляют в последнее время. Когда заказываю с самоката, значит мне нужно быстро. Если бы мне нужна была доставка через час, я бы в магазин сходила. Вы либо исправьте статус «[NUM] минут», либо приносите за эти [NUM] минут.",0,0,1,0,0,0,0,0
Вечные опоздания. Часто испорченные продукты.,0,0,1,0,1,0,0,0
Криво работает возврат денежных средств!,0,0,0,0,0,0,0,1
"Цены достаточно высокие. Непомерные деньги за фрукты и овощи. Маркетинговый ход понятен с меньшим весом. Но [NUM]-[NUM] грамм по цене килограмма - это жесть. Невозможно сделать [NUM] корзины. Отложить в отдельную папку то, что нужно купить на завтра, вроде списка",0,0,0,1,0,0,1,0
Долгая доставка,0,0,1,0,0,0,0,0
